id,name,url,image_url,image_name,genre,starring,num_episodes,release_year,plot,rating
198,Cruel Love,https://en.wikipedia.org/wiki/Cruel_Love,https://upload.wikimedia.org/wikipedia/en/5/52/Bad_Love-poster.jpg,198.jpg,"Romance, Melodrama","Kwon Sang-woo, Lee Yo-won, Kim Sung-soo",20,2007,"Na In Jung struggles with her love between the rather cold and rebellious Yong Ki and a successful businessman, Soo Hwan. Kang Yong Ki is a pop culture artist. He was separated from his first love, Jo Ann, and still carries the wound that he suffered from their relationship. His half sister is Joo Ran who is married to Soo Hwan. Soo Hwan begins an affair with In Jung but he only has ambition for the CEO position of Yong Ki's father's company. Soon after he discovers that his ambition does not fill the emptiness that he has inside and realizes he needs In Jung. But In Jung and Yong Ki have already fallen in love with each other. Will In Jung go back to her first love or stay with Yong Ki?::D-Wiki",7.5
199,Cunning Single Lady,https://en.wikipedia.org/wiki/Cunning_Single_Lady,https://upload.wikimedia.org/wikipedia/en/a/ab/Cunning_Single_Lady_Official_Cover_Poster.jpg,199.jpg,"Romance, Comedy, Drama","Lee Min-jung, Joo Sang-wook",16,2014,"Na Ae-ra (Lee Min-jung) and Cha Jung-woo (Joo Sang-wook) got married young. Ae-ra wanted to have steady life but Jung-woo business led them to lots of debt and hard work so she broke off the marriage. A few years later, Ae-ra found out that Jung-woo business was successful and he became a millionaire while she was still paying debts that incurred during their marriage. Ae-ra came back for revenge but Jung-woo thought that Ae-ra wants him back because of this wealth.::Nira",7.6
200,Cutting Off the Heart,https://en.wikipedia.org/wiki/Cutting_Off_the_Heart,,,,,,,,N/A
201,D-Day (TV series),https://en.wikipedia.org/wiki/D-Day_(TV_series),https://upload.wikimedia.org/wikipedia/en/d/df/D-Day_%28%EB%94%94_%EB%8D%B0%EC%9D%B4%29.jpg,201.jpg,"Disaster, Medical, Romance","Kim Young-kwang, Jung So-min, Ha Seok-jin",20,2015,"When an elite group of American soldiers are ordered to take out a series of German machine gun nests, they find themselves blindly venturing into hostile territory.",4.1
202,D.P. (TV series),https://en.wikipedia.org/wiki/D.P._(TV_series),,,Drama,"Jung Hae-in, Koo Kyo-hwan, Kim Sung-kyun, Son Seok-koo",,2021,The story of a young army private who unexpectedly becomes a desertion arrest officer and finds himself in confusing and complicated situations.,N/A
203,Dae Jang Geum,https://en.wikipedia.org/wiki/Dae_Jang_Geum,https://upload.wikimedia.org/wikipedia/commons/2/26/Korea-Dae_Jang_Geum_Theme_Park-41.jpg,203.jpg,Historical,"Lee Young-ae, Ji Jin-hee, Hong Ri-na, Im Ho, Yang Mi-kyung, Kyeon Mi-ri",54,2003,"This food-oriented drama imagines how the descendants of the famous Joseon woman doctor and alleged culinary genius Jang Geum (the subject of the famous sageuk Dae Jang Geum) might live today if they inherited some of her talents. San Hae has been gifted with an excellent sense of taste which has mad him a huge fan and connoisseur of food. His younger sister Jin Mi has been gifted with an exceptional sense of smell, and their younger brother Jung Shik has such excellent cooking skills he has his own Youtube vlog channel. The story follows San Hae at his work and his relationship with a rookie employee at his company, a woman named Bok Seung Ah.::MyDramaList",7.3
204,Dae Jang Geum Is Watching,https://en.wikipedia.org/wiki/Dae_Jang_Geum_Is_Watching,https://upload.wikimedia.org/wikipedia/en/6/6d/Dae_Jang_Geum_is_Watching.jpg,204.jpg,Romance,"Shin Dong-wook, Kwon Yu-ri, Lee Yeol-eum, Kim Hyun-joon, Lee Min-hyuk",16,2018,"This food-oriented drama imagines how the descendants of the famous Joseon woman doctor and alleged culinary genius Jang Geum (the subject of the famous sageuk Dae Jang Geum) might live today if they inherited some of her talents. San Hae has been gifted with an excellent sense of taste which has mad him a huge fan and connoisseur of food. His younger sister Jin Mi has been gifted with an exceptional sense of smell, and their younger brother Jung Shik has such excellent cooking skills he has his own Youtube vlog channel. The story follows San Hae at his work and his relationship with a rookie employee at his company, a woman named Bok Seung Ah.::MyDramaList",7.3
205,Dae Jo Yeong (TV series),https://en.wikipedia.org/wiki/Dae_Jo-yeong_(TV_series),https://upload.wikimedia.org/wikipedia/en/e/e5/Dae_Jo_Yeong_%28TV_series%29.jpg,205.jpg,Historical,"Choi Soo-jong, Lee Deok-hwa, Jeong Bo-seok, Park Ye-jin, Hong Soo-hyun, Im Hyuk, Choi Cheol-ho, Kim Hak-cheol",134,2006,"The drama tells the story of the life of Dae Jo-yeong, also known as the founder of the kingdom of Balhae, from birth to his death.::anonymous",8.2
206,Dal-ja's Spring,https://en.wikipedia.org/wiki/Dal-ja's_Spring,https://upload.wikimedia.org/wikipedia/en/e/ec/Dal-ja%27s_Spring-poster.jpg,206.jpg,"Romance, Comedy, Drama","Chae Rim, Lee Min-ki, Lee Hyun-woo, Lee Hye-young, Gong Hyung-jin",22,2007,"A 33 successful career girl, Dal Ja, who's lousy in love enlists a paid boyfriend, a confident younger Tae-bong to save face from a failed romance. Dal Ja is drawn Tae-bong and also meets a rich separated man who interests her too.::anonymous",7.7
207,Dal Soon's Spring,https://en.wikipedia.org/wiki/Dal_Soon's_Spring,https://upload.wikimedia.org/wikipedia/en/c/cb/Dal_Soon%27s_Spring_poster.jpg,207.jpg,"Historical, Romance, Family","Hong Ah-reum, Yun Da-yeong, Song Won-suk, Kang Dal-bin",129,2017,,N/A
208,Damo (TV series),https://en.wikipedia.org/wiki/Damo_(TV_series),https://upload.wikimedia.org/wikipedia/en/c/cf/Damo-poster.jpg,208.jpg,"Historical, Action, Romance","Ha Ji-won, Lee Seo-jin, Kim Min-joon",14,2003,"Damo, a historical kdrama, revolves are three characters who are pigeon-holed by society. They each want society to change to offer different opportunities. Their lives become intertwined as they each reach for their individual destinies.::Anonymous",7.7
209,Dandelion Family,https://en.wikipedia.org/wiki/Dandelion_Family,https://upload.wikimedia.org/wikipedia/en/a/a1/Dandelion_Family_poster.jpeg,209.jpeg,"Romance, Drama, Family","Song Seon-mi, Maya, Maya, Lee Yoon-ji, Jung Chan, Jung Woo, Kim Dong-wook, Yoo Dong-geun, Yang Mi-kyung",50,2010,"The three Park sisters try to find their own paths to love and happiness. But Ji Won (Song Sun Mi), Mi Won (Maya) and Hye Won (Lee Yoon Ji) make very different decisions in their lives to get there.",N/A
210,Dangerous Woman (South Korean TV series),https://en.wikipedia.org/wiki/Dangerous_Woman_(South_Korean_TV_series),,,"Romance, Melodrama","Go Eun-mi, Hwang Bo-ra, Kim Jung-hyun, Yeo Hyun-soo",124,2011,A wheelchair-bound woman is terrorized by her chauffeur and her maid in a plot to gain her inheritance.::Anonymous,5.6
211,Daring Women,https://en.wikipedia.org/wiki/Daring_Women,https://upload.wikimedia.org/wikipedia/en/d/df/Daring_Women_%28poster%29.jpg,211.jpg,"Romance, Drama","Lee Yoo-ri, Lee Chang-hoon, Seo Ji-young, Lee Joong-moon",105,2010,"The misadventures of four women and their handyman running a design firm in Atlanta, Georgia.::ahmetkozan",7.1
212,Dating Agency: Cyrano,https://en.wikipedia.org/wiki/Dating_Agency:_Cyrano,https://upload.wikimedia.org/wikipedia/en/d/db/Dating_Agency_Cyrano-poster.jpg,212.jpg,"Romance, Comedy","Lee Jong-hyuk, Choi Sooyoung, Lee Chun-hee, Hong Jong-hyun, Cho Yoon-woo",16,2013,"A young lady Moo Jin(Jong hyeon Hong) joins an agency that makes secret admirer's dreams come true.They never fail to lure their clients's crushes into their arms.Min Shik(Seong Woo Bae) the leader and brains of Cyrano Agency that was once a theatre,Ah Rang(Yoon Woo Jo) a live high school student and Min gyo Kim(Yong dal) the silent teen behind the tech.Unfortunately there lives a Chef close to them who has a double personality,does he want to take the agency down or help it?",7.1
213,Daughters-in-Law (TV series),https://en.wikipedia.org/wiki/Daughters-in-Law,https://upload.wikimedia.org/wikipedia/en/0/07/Daughters-in-Law_%28poster%29.jpg,213.jpg,"Romance, Comedy, Drama","Kim Ji-hoon, Lee Pil-mo, Lee Soo-kyung, Seo Young-hee",54,2007,,N/A
214,Dear. M,https://en.wikipedia.org/wiki/Dear._M,https://upload.wikimedia.org/wikipedia/en/a/a9/Dear._M.jpg,214.jpg,Romance,"Park Hye-su, Jeong Jae-hyun, Roh Jeong-eui, Bae Hyun-sung",12,,"A search takes place for ""M"" who wrote something on the community board of Seoyeon University's website.The writing turned the university upside down.::AsianWiki",N/A
215,Dear Archimedes,https://en.wikipedia.org/wiki/Dear_Archimedes,,,"Web series, Suspense, Romance","Oh Se-hun, Oh Se-hun, Xu Ling Yue, Yang Ye Ming, Wang Zi Xuan",20,2019,,6.7
216,Dear Heaven,https://en.wikipedia.org/wiki/Dear_Heaven,,,"Romance, Melodrama","Yoon Jung-hee, Lee Tae-gon, Cho Yeon-woo, Lee Soo-kyung, Wang Bit-na",85,2005,Bobby tells Ronda to get back to the mountains like Rocky. Khalyla threatens Gilbert with guava leaves. We say a prayer to a sexually ambiguous God. Khalyla just wants a hello.,N/A
217,Dear My Friends,https://en.wikipedia.org/wiki/Dear_My_Friends,https://upload.wikimedia.org/wikipedia/en/5/59/Dear_My_Friends_poster.jpeg,217.jpeg,Drama,"Go Hyun-jung, Kim Hye-ja, Na Moon-hee, Go Doo-shim, Park Won-sook, Youn Yuh-jung, Joo Hyun, Kim Young-ok, Kim Young-ok, Shin Goo",16,2016,"Depict the life story of the ones in their twilight years, who raise their voices as ""It's not over. We're still alive"".::Anonymous",8.3
218,Dear My Sister,https://en.wikipedia.org/wiki/Dear_My_Sister,https://upload.wikimedia.org/wikipedia/en/c/c5/Dear_My_Sister_KBS.jpg,218.jpg,"Romance, Drama, Family","Jang Mi-inae, Ryu Tae-joon, Choi Chang-yeob",130,2011,Two sisters separated in childhood reunite years later as servants at a household in France. Their happiness to be reunited spirals into an incestuous relationship.,6.6
219,Deep Rooted Tree,https://en.wikipedia.org/wiki/Deep_Rooted_Tree,https://upload.wikimedia.org/wikipedia/en/9/95/Deep_Rooted_Tree-poster.jpg,219.jpg,"Historical, Mystery, Romance","Han Suk-kyu, Jang Hyuk, Shin Se-kyung",24,2011,"A series of murders occurred during the reign of King Sejong. As Kang Chae Yoon who is investigating these cases gets closer to the root of the truth, he finds himself embroiled in a massive conspiracy behind the serial killings which involves a group of geniuses who are willing to risk their lives for their cause/goals, and secret powers who will interfere with the course of his investigations.::KBS World",8.3
220,Definitely Neighbors,https://en.wikipedia.org/wiki/Definitely_Neighbors,https://upload.wikimedia.org/wikipedia/en/e/e4/Definitely_Neighbors.jpg,220.jpg,"Romance, Drama, Family","Son Hyun-joo, Yoo Ho-jeong, Kim Sung-ryung, Shin Sung-rok",65,2010,A divorced couple become next-door neighbors.,N/A
221,Delayed Justice,https://en.wikipedia.org/wiki/Delayed_Justice,https://upload.wikimedia.org/wikipedia/en/2/29/Delayed_Justice.jpg,221.jpg,"Crime, Legal","Kwon Sang-woo, Bae Seong-woo → Jung Woo-sung, Kim Ju-hyeon, Jung Woong-in",20,2020,A lawyer and a reporter team-up to fight for those who have been falsely accused by the judicial system.::DramaWiki,7.0
222,Delicious Proposal,https://en.wikipedia.org/wiki/Delicious_Proposal,https://upload.wikimedia.org/wikipedia/en/0/0c/Delicious_Proposal-poster.jpg,222.jpg,"Romance, Comedy, Drama","Jung Joon, Son Ye-jin, So Yoo-jin, So Ji-sub",16,2001,All's fair in love and war - and in competition between rival Chinese food restaurants. Kim Hyo Dong (Jung Joon) is the son of a Chinese restaurant owner who strives to serve the best Chinese food in the neighborhood.,6.8
223,Descendants of the Sun,https://en.wikipedia.org/wiki/Descendants_of_the_Sun,https://upload.wikimedia.org/wikipedia/en/6/6e/DescendantsoftheSun.jpg,223.jpg,"Melodrama, Romance, Action","Song Joong-ki, Song Hye-kyo, Jin Goo, Kim Ji-won, Kim Ji-won",18,2016,This drama tells of the love story that develops between a surgeon and a special forces officer.,8.3
224,Designated Survivor: 60 Days,https://en.wikipedia.org/wiki/Designated_Survivor:_60_Days,https://upload.wikimedia.org/wikipedia/en/c/c8/Designated60.jpg,224.jpg,"Politics, Thriller, Crime","Ji Jin-hee, Heo Joon-ho, Kang Han-na",16,2019,"When the National Assembly suffers a catastrophic attack, Minister of Environment Park Mu Jin must find a way to lead Korea through the ensuing chaos.",8.1
225,Detectives in Trouble,https://en.wikipedia.org/wiki/Detectives_in_Trouble,https://upload.wikimedia.org/wikipedia/en/9/94/Detectives_in_Trouble-poster.jpg,225.jpg,Police procedural,"Song Il-gook, Song Ji-hyo, Lee Jong-hyuk",16,2011,"This drama focuses on a group of detectives in the Seoul Gangnam Police Homicide Division who solve crimes based on real life cases with their variety of skills and investigative methods. At the forefront of the team is the impulsive and hotheaded detective Park Se Hyuk and the cold, commanding police chief, Jung Il Do. Park Se Hyuk's passion for his work and rough personality results in a tendency to take action first before thinking later, in contrast with Jung Il Do's by-the-book style. However, his greatest weapon is an instinctive knowledge of a criminal's tricks and mental workings that he gained from his father, the legendary thief, and his own childhood in the streets. Together with the other members of a special team formed to catch Lupin, a notorious burglar, he juggles work with his own personal quest to find his father and confront his older brother, a crooked detective.::D-Wiki",7.2
226,Devil Judge,https://en.wikipedia.org/wiki/The_Devil's_Justice,,,"Mystery, Legal","Ji Sung, Kim Min-jung, Kim Min-jung, Park Jin-young, Park Gyu-young",,2021,A girl starts her own investigation after the police fail to catch a local serial killer.::Ørnås,5.5
227,Devilish Charm,https://en.wikipedia.org/wiki/Devilish_Charm,https://upload.wikimedia.org/wikipedia/en/6/6d/Devilish_Charm.jpg,227.jpg,Romantic comedy,"Choi Jin-hyuk, Song Ha-yoon, Hoya, Lee Ho-won, Lee Joo-yeon",16,2018,"When a cursed devil's charm' bracelet shows up at a sorority house on Valentine's Day, each girl tries to make a series of wishes, and each finds that unintended consequences are the primary purpose of Satan's sinister strategy.::Amazon.com",3.4
228,Diary of a Night Watchman,https://en.wikipedia.org/wiki/Diary_of_a_Night_Watchman,https://upload.wikimedia.org/wikipedia/en/2/28/Night_Watchman%27s_Journal-poster.jpg,228.jpg,"Historical, Suspense, Fantasy, Romance","Jung Il-woo, Ko Sung-hee, U-Know Yunho, Seo Yea-ji",24,2014,"Being able to see ghosts and other supernatural spirits is a heavy responsibility. Prince Lee Rin (Jung Il Woo), like his father before him, discovers that he has the ability to see ghosts and other supernatural beings.",6.0
229,Diary of a Prosecutor,https://en.wikipedia.org/wiki/Diary_of_a_Prosecutor,https://upload.wikimedia.org/wikipedia/en/0/00/Diary_of_a_Prosecutor_poster.jpg,229.jpg,Legal,"Lee Sun-kyun, Jung Ryeo-won, Lee Sung-jae, Kim Kwang-kyu, Lee Sang-hee, Lee Sang-hee, Jeon Sung-woo",16,2019,The stories of overworked prosecutors's daily lives in Seoul.,8.2
230,Did We Really Love?,https://en.wikipedia.org/wiki/Did_We_Really_Love?,https://upload.wikimedia.org/wikipedia/en/c/cb/Did_We_Really_Love_DVD_cover.jpeg,230.jpeg,,,44,1999,,N/A
231,Different Dreams,https://en.wikipedia.org/wiki/Different_Dreams,https://upload.wikimedia.org/wikipedia/en/c/c2/Different_Dreams.jpg,231.jpg,"Historical, Melodrama","Lee Yo-won, Yoo Ji-tae, Lim Ju-hwan, Nam Gyu-ri",40,2019,"A turning point in Korean history, one never to be forgotten is presented in this engaging historical drama, celebrating its 100th anniversary. In 1919, during the Japanese colonial period, two events paved the way for the independence of Korea, the March 1st Movement and the establishment of the Provisional Government of the Republic of Korea. And with it, a covert armament for freedom was born, the Heroic Corps. Historically and in the drama, the man leading the corps goes by the name of Kim Won Bong, his real name only a few people know. He rarely stays in one area for more than two hours and sleeps for only short periods at a time. With fiery passion in his heart, he moves about swiftly and dreams for his country's independence. Lee Young Jin a Korean woman raised by a Japanese military doctor follows in her surrogate father's footsteps, and through a series of events, attends a prestigious medical university in Shanghai. She returns to Joseon and becomes the first female surgeon. The two them cross paths, and although they follow different ideologies, Won Bong soon realizes his need for her and begins to regret sending her deep into enemy territory. These two characters will walk together, sometimes run, sometimes fall, only to get back up again to chase their dreams. Bearing with them the pain and suffering of the historical events that shaped Korea's independence, they hope to instill the past so that it will never be forgotten.::Viki",8.1
232,Dinner Mate,https://en.wikipedia.org/wiki/Dinner_Mate,https://upload.wikimedia.org/wikipedia/en/e/eb/Dinner_Mate.jpg,232.jpg,Romance,"Song Seung-heon, Seo Ji-hye, Lee Ji-hoon, Son Na-eun",32,2020,A man and woman waiting at a restaurant are mistaken for a couple and decide to have dinner together.,7.5
233,Discovery of Love,https://en.wikipedia.org/wiki/Discovery_of_Love,https://upload.wikimedia.org/wikipedia/en/0/0e/Discovery_of_Romance-poster.jpg,233.jpg,"Romance, Comedy, Drama","Jung Yu-mi, Eric Mun, Sung Joon",16,2014,"Han Yeo-reum and Nam Ha-jin are committed to each other. Before Ha-jin can propose, Yeo-reum's ex, Kang Tae-ha, reappears in her life. Yeo-reum and Tae-ha begin to work together and realize that they might want to rediscover old love.",7.3
234,Distorted (TV series),https://en.wikipedia.org/wiki/Distorted_(TV_series),https://upload.wikimedia.org/wikipedia/en/a/a4/Falsify_Poster.jpg,234.jpg,"Legal, Thriller, Politics, Drama","Namkoong Min, Uhm Ji-won, Yoo Jun-sang, Jeon Hye-bin, Moon Sung-keun",32,2017,"A couple moves to an isolated, modern, safe apartment building with CCTV after the wife has problems with nightmares. However, something's not quite right with the building.::Scott Filtenborg",4.6
235,Divorce Lawyer in Love,https://en.wikipedia.org/wiki/Divorce_Lawyer_in_Love,https://upload.wikimedia.org/wikipedia/en/a/ad/Divorce_Lawyer_in_Love_%28%EC%9D%B4%ED%98%BC%EB%B3%80%ED%98%B8%EC%82%AC%EB%8A%94_%EC%97%B0%EC%95%A0%EC%A4%91%29_-_promotional_poster.jpg,235.jpg,"Romance, Comedy","Jo Yeo-jeong, Yeon Woo-jin",18,2015,"Go Cheok Hee (Jo Yeo Jung) was once a tenacious divorce lawyer willing to do anything to win, including an incident that got her disbarred, much to the pleasure of her condescending office manager So Jung Woo (Yeon Woo Jin). But it's all history until Cheok Hee takes a new job as the office manager at a legal firm, which Jung Woo incidentally works at - as a lawyer. Now that the tables are turned, will Cheok Hee and Jung Woo keep it professional, or are they destined to sabotage each other?",7.4
236,Do Do Sol Sol La La Sol,https://en.wikipedia.org/wiki/Do_Do_Sol_Sol_La_La_Sol,https://upload.wikimedia.org/wikipedia/en/d/d8/Do_Do_Sol_Sol_La_La_Sol.jpg,236.jpg,"Romance, Comedy","Go Ara, Lee Jae-wook, Kim Joo-hun",16,2020,"A riches-to-rags pianist who loses everything but her smile is guided by twinkling little stars to a small town where she finds hope, home and love.::(Source: Netflix)",7.4
237,Do You Know Taekwondo?,https://en.wikipedia.org/wiki/Do_You_Know_Taekwondo?,https://upload.wikimedia.org/wikipedia/en/a/a9/DoYouKnowTaekwondoPoster.jpg,237.jpg,,,,,,N/A
238,Do You Like Brahms?,https://en.wikipedia.org/wiki/Do_You_Like_Brahms?,https://upload.wikimedia.org/wikipedia/en/4/4d/Do_You_Like_Brahms%3F.jpg,238.jpg,"Romance, Music","Park Eun-bin, Kim Min-jae, Kim Sung-cheol, Park Ji-hyun, Park Ji-hyun, Lee Yoo-jin, Bae Da-bin",16,2020,A drama about the dreams and love of classical music students who find their own happiness after wandering between talent and reality.::HanCinema,7.8
239,Doctor Detective,https://en.wikipedia.org/wiki/Doctor_Detective,https://upload.wikimedia.org/wikipedia/en/a/a7/Doctor_Detective.jpg,239.jpg,Drama,"Park Jin-hee, Bong Tae-gyu, Lee Ki-woo",16,2019,"Do Jung Eun works as an industrial health doctor. She partners with Doctor Heo Min Ki to uncover the truth related to industrial accidents, diseases and other incidents that take place at industrial sites. Do Jung Eun seeks out the truth which the TL Group wants to cover up.::AsianWiki",7.2
240,Doctor John (TV series),https://en.wikipedia.org/wiki/Doctor_John_(TV_series),https://upload.wikimedia.org/wikipedia/en/f/f5/Doctor_John_2019.jpg,240.jpg,Medical,"Ji Sung, Lee Se-young, Lee Kyu-hyung, Hwang Hee",32,2019,"In a refreshing take on the genre, ""Doctor John"" will portray the doctors' search for the cause of their patients' mysterious pain as a thrilling chase, almost like a detective hunting down the perpetrator behind an unsolved crime.",8.2
241,Doctor Prisoner,https://en.wikipedia.org/wiki/Doctor_Prisoner,https://upload.wikimedia.org/wikipedia/en/b/b1/Doctor_Prisoner.jpg,241.jpg,Medical,"Namkoong Min, Kwon Nara, Kim Byung-chul, Choi Won-young",32,2019,"Doctor Prisoner centers around an ace doctor in a university hospital's emergency care center, a skilled professional who treats his patients with full devotion and without discrimination. However, his medical license gets suspended as a result of a medical malpractice incident that arises when the hospital board director causes a ruckus. He then gets his certificate as a medical internist and applies to work at a prison, where his plan is to cozy up to all the big-shots there-business tycoons, celebrities caught for doing drugs, sports stars guilty of gambling-and to win allies, with the ultimate goal of getting revenge against the hospital that ousted him. To do so, he'll get rid of the existing prison chief doctor and claim the spot for himself.::DramaBeans",7.7
242,Doctor Stranger,https://en.wikipedia.org/wiki/Doctor_Stranger,https://upload.wikimedia.org/wikipedia/en/9/92/Doctor-Stranger.jpg,242.jpg,"Medical, Romance","Lee Jong Suk, Jin Se-yeon, Park Hae-jin, Kang So-ra",20,2014,"As a child, Park Hoon (Lee Jong-suk) and his father were kidnapped by North Korea. In North Korea, Park Hoon was trained to become a doctor by his father who was already a famous doctor. Park Hoon became a genius thoracic surgeon. He deeply fell in love with Jae Hee (Jin Se-yeon) in his high school. Park Hoon's father then died and he tried to flee to South Korea with Jae Hee, but lost in contact with her and at the end, he fled to South Korea alone, while looking for Jae Hee. In South Korea, Park Hoon begins to work as doctor in a top hospital Myungwoo University Hospital. Meanwhile, he found a girl that looks exactly like Jae Hee, Doctor Han Seung Hee, who claimed to not know Park Hoon. Then it appears that she's involved in a secret mission with a man who hates Park Hoon back in North Korea.::D. Biswas",7.4
243,Don't Cry My Love (TV series),https://en.wikipedia.org/wiki/Don't_Cry_My_Love_(TV_series),https://upload.wikimedia.org/wikipedia/en/4/48/I_Love_You%2C_Don%27t_Cry_poster.jpeg,243.jpeg,"Romance, Drama, Family","Lee Yoo-ri, Lee Jung-jin, Oh Seung-hyun, Lee Sang-yoon",132,2008,"Young-Min's finds his world turned upside down after an ex-girlfriend leaves their son with him. Fortunately, Young-Min receives support and encouragement from a sympathetic friend, Mi-soo.::Darwin",N/A
244,Don't Dare to Dream,https://en.wikipedia.org/wiki/Don't_Dare_to_Dream,https://upload.wikimedia.org/wikipedia/en/d/d6/Jealousy_Incarnate_Poster.jpg,244.jpg,"Romantic comedy, Workplace","Gong Hyo-jin, Jo Jung-suk, Go Kyung-pyo, Lee Mi-sook, Park Ji-young, Park Ji-young, Lee Sung-jae, Seo Ji-hye",24,2016,"Getting ahead in a broadcasting station is tough and the competition is fierce -- but when a news anchor and meteorologist start to fall for each other, things get much more complicated.::Minter",7.8
245,Don't Hesitate,https://en.wikipedia.org/wiki/Don't_Hesitate,https://upload.wikimedia.org/wikipedia/en/1/18/Don%27t_Hesitate_%28poster%29.jpg,245.jpg,"Romance, Drama, Family","Lee Tae-im, Lee Sang-woo, Kim Young-jae, Bae Min-hee",98,2009,"A brokenhearted woman makes a romantic connection with a man who doesn't believe in love. For this relationship to work, both must learn to trust one another by overcoming their respective fear of being hurt again.::Darwin",7.2
246,Don't Look Back: The Legend of Orpheus,https://en.wikipedia.org/wiki/Don't_Look_Back:_The_Legend_of_Orpheus,https://upload.wikimedia.org/wikipedia/en/d/da/Shark-poster.jpg,246.jpg,"Drama, Revenge, Romance, Thriller","Kim Nam-gil, Son Ye-jin",20,2013,"After his father's demise at the hand of Gaya Hotel Group, Han Yi Soo has lived for one thing only: vengeance. But there's a huge obstacle in Yi Soo's way: his inconvenient love for Jo Hae Woo, the heiress to Gaya Hotel Group.",7.6
247,Dong Yi (TV series),https://en.wikipedia.org/wiki/Dong_Yi_(TV_series),https://upload.wikimedia.org/wikipedia/en/9/97/Dong_Yi.jpg,247.jpg,"Historical, Romance","Han Hyo-joo, Ji Jin-hee, Lee So-yeon, Lee So-yeon, Bae Soo-bin",60,2010,"Story a simple maid that rises high in the royal harem as a consort and, ultimately, mother of the Korean king.",8.0
248,Doom at Your Service,https://en.wikipedia.org/wiki/Doom_at_Your_Service,https://upload.wikimedia.org/wikipedia/en/3/32/Doom_at_Your_Service.jpg,248.jpg,"Romance, Fantasy","Park Bo-young, Seo In-guk",16,2021,The story of real 'doomsday' coming to a protagonist who has lived a life full of ups and downs like a play of fate.,N/A
249,Dr. Champ,https://en.wikipedia.org/wiki/Dr._Champ,https://upload.wikimedia.org/wikipedia/en/4/47/Drchamp-poster.jpg,249.jpg,"Romance, Sports","Kim So-yeon, Uhm Tae-woong, Jung Gyu-woon, Cha Ye-ryun",16,2010,"Kim Yeon Woo is an orthopedic doctor who takes up a new post at Taereung National Village, the training center for national Olympic athletes, after she is fired from her previous job. She becomes romantically involved with Park Ji Heon, a young judo athlete, and Lee Do Wook, the short-tempered, crippled director of the facility who is still haunted by the injury that had cut short his speed-skating career. This is further complicated by the presence of the swimming coach, Hee Young, who becomes her rival for the attentions of Do Wook.::nami",7.0
250,Dr. Frost (TV series),https://en.wikipedia.org/wiki/Dr._Frost_(TV_series),https://upload.wikimedia.org/wikipedia/en/8/88/Drfrost-poster.jpg,250.jpg,"Crime, Mystery, Thriller","Song Chang-eui, Jung Eun-chae, Lee Yoon-ji, Sung Ji-ru, Choi Jung-woo",10,2014,"Dr. Frost"" is a drama about a genius psychology professor that cannot feel certain emotions due to an injury he sustained as a child. He uses his deductive reasoning to help procedural teams both officially and unofficially to solve crimes on the side.::Kdrama",7.3
251,Dr. Ian,https://en.wikipedia.org/wiki/Dr._Ian,https://upload.wikimedia.org/wikipedia/en/6/69/Dr._Ian_poster.png,251.png,"Romance, Drama","Sandara Park, Kim Young-kwang",9,2015,,N/A
252,Dr. Jin,https://en.wikipedia.org/wiki/Dr._Jin,https://upload.wikimedia.org/wikipedia/en/2/2d/Dr._Jin-poster.jpg,252.jpg,"Romance, Time travel, Medical","Song Seung-heon, Park Min-young, Lee Beom-soo, Kim Jaejoong, Lee So-yeon, Lee So-yeon",22,2012,"A surgeon treats a mysterious patient who has a human-shaped tumor in his head, only to discover himself time-travelling to the year 1861.::Anonymous",6.5
253,Dr. Kkang,https://en.wikipedia.org/wiki/Dr._Kkang,https://upload.wikimedia.org/wikipedia/en/f/fd/Dr_Kkang_TV_poster.jpeg,253.jpeg,"Romance, Drama","Yang Dong-geun, Han Ga-in, Lee Jong-hyuk",16,2006,"Unni, a young man, comes home for a long leave. However, his housemaid who is a teenager, develops a secret liking towards him that torments her.",5.8
254,Dr. Romantic,https://en.wikipedia.org/wiki/Dr._Romantic,https://upload.wikimedia.org/wikipedia/en/7/7b/Romantic_Doctor_Teacher_Kim_Poster.jpg,254.jpg,"Medical, Melodrama, Romance","Han Suk-kyu, Yoo Yeon-seok, Seo Hyun-jin",21,2016,"""Romantic Doctor Kim"" is a ""real doctor"" story set in a small, humble hospital called Dol Dam Hospital. It is a story about people who meet Kim Sa Bu (Han Suk Kyu), a genius doctor, and discover ""real romance.""",8.3
255,Dr. Romantic 2,https://en.wikipedia.org/wiki/Dr._Romantic_2,https://upload.wikimedia.org/wikipedia/en/a/ad/Dr._Romantic_2.jpg,255.jpg,"Medical, Melodrama, Romance","Han Suk-kyu, Ahn Hyo-seop, Lee Sung-kyung, Kim Joo-hun",16,2020,"""Romantic Doctor Kim"" is a ""real doctor"" story set in a small, humble hospital called Dol Dam Hospital. It is a story about people who meet Kim Sa Bu (Han Suk Kyu), a genius doctor, and discover ""real romance.""",8.3
256,Drama City,https://en.wikipedia.org/wiki/Drama_City,https://upload.wikimedia.org/wikipedia/en/1/13/DramaCity_Caps.jpg,256.jpg,Drama,,,1984,"A rampant boy, whose mother is very ill, has problems coping with his ill mom and doesn't get along with his dad. After one of his arguments with his dad, he runs out of the house to let off steam by playing with his roller blades. Somehow he traveled through time he meets his parents prior to their dating.",9.0
